Month:Day:Hr:Min:Sec:MSec,Packet number,Element 1, Element 2, Element 3, Element 4
9:30:16:0:16:152,601,0.2544547,0.7338842,-0.6223123,-0.09692349
9:30:16:0:16:212,608,0.2543991,0.7339,-0.6223257,-0.09686454
9:30:16:0:16:271,615,0.2544,0.7336584,-0.622572,-0.09710902
9:30:16:0:16:330,623,0.2544006,0.7334771,-0.6227567,-0.09729238
9:30:16:0:16:389,630,0.2543927,0.7333931,-0.6228592,-0.09728933
9:30:16:0:16:449,637,0.2543377,0.7332276,-0.6230572,-0.09741373
9:30:16:0:16:508,645,0.2543396,0.7331109,-0.623184,-0.09747549
9:30:16:0:16:567,652,0.2542748,0.7329778,-0.6233577,-0.09753506
9:30:16:0:16:627,659,0.2542763,0.7329822,-0.6233613,-0.0974746
9:30:16:0:16:686,666,0.2542698,0.7329025,-0.6234676,-0.09741109
9:30:16:0:16:745,674,0.2542133,0.7327324,-0.6236617,-0.09759592
9:30:16:0:16:804,681,0.2542166,0.73262,-0.6237921,-0.09759722
9:30:16:0:16:864,688,0.2542085,0.7325965,-0.6238331,-0.09753305
9:30:16:0:16:933,697,0.2541549,0.7324349,-0.6240346,-0.09759695
9:30:16:0:16:992,704,0.2540885,0.7322973,-0.6242044,-0.09771695
9:30:16:0:17:51,711,0.254082,0.7322176,-0.6243106,-0.09765342
9:30:16:0:17:111,719,0.2540837,0.7321613,-0.6243756,-0.09765406
9:30:16:0:17:170,726,0.2540856,0.7319839,-0.6245636,-0.09777689
9:30:16:0:17:229,733,0.2540317,0.7319434,-0.6246422,-0.0977186
9:30:16:0:17:289,741,0.2540338,0.7317053,-0.6248915,-0.09790251
9:30:16:0:17:348,748,0.2539701,0.7316974,-0.6249458,-0.09777939
9:30:16:0:17:407,755,0.2539705,0.7315155,-0.6251299,-0.09796266
9:30:16:0:17:466,762,0.2539165,0.7314749,-0.6252084,-0.09790435
9:30:16:0:17:526,770,0.2539085,0.7313907,-0.6253107,-0.09790125
9:30:16:0:17:585,777,0.2538519,0.7311593,-0.6255657,-0.0981471
9:30:16:0:17:644,784,0.2538452,0.7311401,-0.6256104,-0.09802246
9:30:16:0:17:704,792,0.2538455,0.730958,-0.6257943,-0.09820569
9:30:16:0:17:773,800,0.2537902,0.7308522,-0.6259303,-0.09826893
9:30:16:0:17:832,807,0.2537823,0.7306464,-0.626155,-0.09838794
9:30:16:0:17:892,815,0.2537853,0.7306552,-0.6261625,-0.09826706
9:30:16:0:17:951,822,0.2537872,0.7304165,-0.6264114,-0.09845089
9:30:16:0:18:10,829,0.2537889,0.7302993,-0.6265376,-0.09851258
9:30:16:0:18:69,836,0.2537907,0.7301213,-0.626725,-0.09863534
9:30:16:0:18:128,843,0.2537828,0.7298544,-0.6270107,-0.09881537
9:30:16:0:18:188,850,0.2537844,0.7297979,-0.6270757,-0.09881599
9:30:16:0:18:247,857,0.2537777,0.7297788,-0.6271203,-0.09869133
9:30:16:0:18:306,865,0.2537237,0.7297989,-0.6271375,-0.09857199
9:30:16:0:18:365,872,0.253717,0.7297797,-0.6271821,-0.09844732
9:30:16:0:18:425,879,0.2537172,0.7295362,-0.6274268,-0.09869155
9:30:16:0:18:484,886,0.2537287,0.7292641,-0.6276994,-0.09894016
9:30:16:0:18:553,895,0.2537304,0.7290857,-0.6278865,-0.09906288
9:30:16:0:18:612,902,0.2537237,0.7290056,-0.6279922,-0.09899926
9:30:16:0:18:672,909,0.2536682,0.7289604,-0.6280668,-0.0990014
9:30:16:0:18:731,915,0.25366,0.7288758,-0.6281686,-0.09899821
9:30:16:0:18:791,922,0.2536617,0.7286364,-0.6284168,-0.09918195
9:30:16:0:18:850,929,0.2536632,0.7285798,-0.6284817,-0.09918255
9:30:16:0:18:909,937,0.2535979,0.7283235,-0.6287764,-0.09936401
9:30:16:0:18:968,944,0.2535439,0.7281605,-0.6289768,-0.09942778
9:30:16:0:19:27,951,0.253547,0.7281083,-0.6290455,-0.09936795
9:30:16:0:19:87,958,0.2535485,0.7279295,-0.6292324,-0.09949062
9:30:16:0:19:146,965,0.2535484,0.7277463,-0.6294154,-0.09967371
9:30:16:0:19:205,972,0.2534815,0.7274851,-0.6297058,-0.09991552
9:30:16:0:19:264,979,0.2534813,0.7271793,-0.6300105,-0.1002206
9:30:16:0:19:324,987,0.2534255,0.7270115,-0.6302068,-0.1003448
9:30:16:0:19:393,995,0.2534172,0.7268044,-0.6304302,-0.1004636
9:30:16:0:19:452,1002,0.2534185,0.7265639,-0.6306775,-0.1006472
9:30:16:0:19:512,1010,0.2534228,0.7263322,-0.6309325,-0.1007099
9:30:16:0:19:571,1017,0.253367,0.7261641,-0.6311286,-0.1008341
9:30:16:0:19:630,1024,0.2533604,0.7261451,-0.6311731,-0.1007094
9:30:16:0:19:689,1032,0.2532965,0.7260759,-0.6312881,-0.1006472
9:30:16:0:19:749,1039,0.253298,0.7260191,-0.6313528,-0.1006478
9:30:16:0:19:808,1045,0.2532324,0.7258229,-0.6315855,-0.100768
9:30:16:0:19:867,1052,0.2532335,0.7255821,-0.6318325,-0.1009516
9:30:16:0:19:926,1060,0.2532441,0.7252463,-0.6321642,-0.101261
9:30:16:0:19:986,1067,0.2531785,0.7251111,-0.632336,-0.1013202
9:30:16:0:20:45,1074,0.2531815,0.7250587,-0.6324045,-0.1012604
9:30:16:0:20:105,1082,0.2531729,0.7248508,-0.6326271,-0.101379
9:30:16:0:20:163,1089,0.253118,0.7245023,-0.6330087,-0.1016256
9:30:16:0:20:233,1097,0.2531191,0.7243223,-0.6331945,-0.1017481
9:30:16:0:20:292,1105,0.2530548,0.7241299,-0.6334305,-0.1018079
