Month:Day:Hr:Min:Sec:MSec,Packet number,Element 1, Element 2, Element 3, Element 4
9:30:16:2:30:673,16738,0.1625346,0.2860072,-0.9186286,-0.2188693
9:30:16:2:30:732,16746,0.162534,0.285823,-0.9186863,-0.2188685
9:30:16:2:30:791,16753,0.1625299,0.2857547,-0.9187241,-0.218802
9:30:16:2:30:851,16760,0.1624705,0.2855136,-0.9187946,-0.2188652
9:30:16:2:30:911,16768,0.1624118,0.2852124,-0.9188686,-0.2189904
9:30:16:2:30:969,16775,0.1623502,0.2849673,-0.9189266,-0.2191117
9:30:16:2:31:28,16782,0.1622257,0.2845969,-0.9190351,-0.2192306
9:30:16:2:31:88,16789,0.1621641,0.2843518,-0.9190928,-0.2193519
9:30:16:2:31:147,16797,0.1621628,0.2842274,-0.9191465,-0.2192891
9:30:16:2:31:206,16804,0.1621097,0.2840581,-0.9191911,-0.2193607
9:30:16:2:31:266,16811,0.1621049,0.2840498,-0.9192252,-0.2192322
9:30:16:2:31:325,16816,0.1621715,0.2839985,-0.9192566,-0.2191177
9:30:16:2:31:384,16823,0.1621023,0.2838011,-0.9193324,-0.2191066
9:30:16:2:31:443,16830,0.1620422,0.2836196,-0.9193987,-0.2191079
9:30:16:2:31:512,16839,0.1620415,0.2834353,-0.9194558,-0.219107
9:30:16:2:31:572,16846,0.161865,0.2830197,-0.9195546,-0.2193601
9:30:16:2:31:631,16853,0.1618637,0.2828953,-0.9196082,-0.2192973
9:30:16:2:31:750,16866,0.1617425,0.2824085,-0.919735,-0.2194815
9:30:16:2:31:809,16873,0.1616817,0.2822869,-0.9197976,-0.2194209
9:30:16:2:31:868,16880,0.1615549,0.2819124,-0.9198926,-0.2195975
9:30:16:2:31:927,16888,0.1614393,0.2815574,-0.9199903,-0.2197283
9:30:16:2:31:987,16894,0.161494,0.2815464,-0.9200153,-0.2195977
9:30:16:2:32:46,16901,0.1615584,0.2814912,-0.9200344,-0.2195412
9:30:16:2:32:105,16908,0.1615558,0.2814867,-0.9200807,-0.2193546
9:30:16:2:32:164,16916,0.1614934,0.2813013,-0.9201342,-0.2194138
9:30:16:2:32:224,16923,0.1614317,0.2810559,-0.9201912,-0.2195349
9:30:16:2:32:293,16931,0.1613715,0.2808743,-0.9202569,-0.219536
9:30:16:2:32:352,16939,0.1613091,0.2806889,-0.9203103,-0.2195952
9:30:16:2:32:412,16946,0.1613152,0.2805164,-0.9203453,-0.2196646
9:30:16:2:32:471,16953,0.1612528,0.2803309,-0.9203985,-0.2197238
9:30:16:2:32:530,16961,0.1611338,0.280092,-0.9204766,-0.2197889
9:30:16:2:32:589,16968,0.1610657,0.2797745,-0.9205583,-0.2199013
9:30:16:2:32:649,16975,0.1610733,0.2796657,-0.920602,-0.2198507
9:30:16:2:32:708,16983,0.1610703,0.2794775,-0.9206461,-0.2199077
9:30:16:2:32:767,16990,0.160886,0.2791092,-0.9207613,-0.2200281
9:30:16:2:32:826,16997,0.1608825,0.278981,-0.9208019,-0.2200233
9:30:16:2:32:886,17004,0.1608817,0.2787964,-0.9208583,-0.2200221
9:30:16:2:32:945,17012,0.1607603,0.2785536,-0.9209235,-0.2201452
9:30:16:2:33:4,17019,0.1606444,0.2781981,-0.92102,-0.2202757
9:30:16:2:33:64,17026,0.1605173,0.2778232,-0.9211131,-0.2204519
9:30:16:2:33:123,17034,0.1603367,0.2772782,-0.9212495,-0.2206995
9:30:16:2:33:192,17042,0.1602175,0.2770389,-0.9213268,-0.2207644
9:30:16:2:33:251,17049,0.1602144,0.2768505,-0.9213703,-0.2208212
9:30:16:2:33:311,17057,0.1599742,0.276308,-0.9215149,-0.2210708
9:30:16:2:33:370,17063,0.1599054,0.2760504,-0.9215921,-0.2211211
9:30:16:2:33:429,17070,0.1598487,0.2756918,-0.9216785,-0.2212492
9:30:16:2:33:489,17077,0.1597231,0.2753805,-0.9217799,-0.2213053
9:30:16:2:33:548,17085,0.1595985,0.2749488,-0.9218872,-0.2214848
9:30:16:2:33:607,17092,0.1594823,0.2745927,-0.9219821,-0.2216151
9:30:16:2:33:667,17099,0.1594245,0.2743542,-0.922062,-0.2216196
9:30:16:2:33:726,17107,0.1594235,0.2741694,-0.9221175,-0.2216183
9:30:16:2:33:785,17114,0.159421,0.2741651,-0.922164,-0.2214317
9:30:16:2:33:844,17121,0.159479,0.2740378,-0.9222075,-0.2213664
9:30:16:2:33:904,17128,0.1594191,0.2737955,-0.9222748,-0.2214289
9:30:16:2:33:973,17137,0.1594176,0.2736709,-0.9223272,-0.2213659
9:30:16:2:34:32,17144,0.1592992,0.273311,-0.9224092,-0.221554
9:30:16:2:34:91,17151,0.1592976,0.2731863,-0.9224615,-0.2214908
9:30:16:2:34:150,17158,0.1592372,0.2730041,-0.9225257,-0.2214916
9:30:16:2:34:211,17165,0.1591187,0.2726441,-0.9226075,-0.2216797
9:30:16:2:34:269,17172,0.1590497,0.2723863,-0.9226835,-0.2217297
9:30:16:2:34:328,17180,0.1589333,0.2720298,-0.9227774,-0.2218596
9:30:16:2:34:388,17187,0.1588674,0.2716554,-0.9228715,-0.221975
9:30:16:2:34:447,17194,0.158751,0.2712987,-0.922965,-0.2221049
9:30:16:2:34:506,17201,0.1587508,0.2709934,-0.9230254,-0.2222268
9:30:16:2:34:565,17209,0.1586254,0.2706214,-0.9231279,-0.2223441
9:30:16:2:34:625,17216,0.1585026,0.2701928,-0.9232454,-0.2224651
9:30:16:2:34:684,17223,0.158445,0.2698937,-0.9233268,-0.2225311
9:30:16:2:34:743,17230,0.15826,0.2695242,-0.9234377,-0.2226504
9:30:16:2:34:812,17238,0.158205,0.2691683,-0.9235342,-0.22272
9:30:16:2:34:872,17245,0.158136,0.2689104,-0.9236091,-0.2227697
9:30:16:2:34:931,17253,0.1582024,0.2688586,-0.9236405,-0.2226552
9:30:16:2:34:990,17260,0.1581332,0.2686007,-0.9237154,-0.2227048
9:30:16:2:35:50,17267,0.1580756,0.2683013,-0.9237964,-0.2227707
9:30:16:2:35:109,17275,0.158015,0.2681189,-0.9238597,-0.2227712
9:30:16:2:35:168,17282,0.1579564,0.26794,-0.9239354,-0.2227137
9:30:16:2:35:227,17288,0.1579548,0.2678152,-0.923987,-0.2226504
9:30:16:2:35:287,17295,0.1578972,0.2675158,-0.9240677,-0.2227162
9:30:16:2:35:346,17303,0.1577715,0.2671435,-0.9241688,-0.2228332
9:30:16:2:35:405,17310,0.1575871,0.2666531,-0.9242833,-0.2230755
9:30:16:2:35:465,17317,0.1575294,0.2663535,-0.9243638,-0.2231412
9:30:16:2:35:524,17325,0.1575304,0.266172,-0.9244303,-0.2230815
9:30:16:2:35:593,17333,0.1573484,0.2656246,-0.9245594,-0.2233273
9:30:16:2:35:652,17340,0.1572817,0.26531,-0.9246482,-0.2233804
9:30:16:2:35:712,17348,0.1572214,0.265067,-0.9247133,-0.2234424
9:30:16:2:35:771,17355,0.1571635,0.2647672,-0.924793,-0.2235079
9:30:16:2:35:830,17361,0.1571641,0.2646459,-0.924857,-0.2233866
9:30:16:2:35:889,17368,0.1570382,0.2642733,-0.9249567,-0.2235032
9:30:16:2:35:949,17376,0.1570394,0.2640313,-0.9250251,-0.223505
9:30:16:2:36:8,17383,0.1570352,0.2639632,-0.9250615,-0.223438
9:30:16:2:36:67,17390,0.1569774,0.2636634,-0.925141,-0.2235035
9:30:16:2:36:126,17397,0.1569191,0.2634238,-0.9252183,-0.2235074
9:30:16:2:36:186,17404,0.1568611,0.2631239,-0.9252976,-0.2235729
9:30:16:2:36:245,17411,0.1567352,0.2627511,-0.9253966,-0.2236894
9:30:16:2:36:304,17418,0.156793,0.2626237,-0.9254389,-0.2236238
9:30:16:2:36:364,17426,0.1567935,0.2625024,-0.9255026,-0.2235024
9:30:16:2:36:433,17434,0.156733,0.2622592,-0.9255668,-0.2235642
9:30:16:2:36:492,17441,0.1566732,0.2618951,-0.9256353,-0.2237491
9:30:16:2:36:551,17449,0.1566148,0.2616554,-0.925712,-0.2237529
9:30:16:2:36:611,17456,0.1565543,0.2614121,-0.9257762,-0.2238147
9:30:16:2:36:670,17463,0.1564874,0.2610972,-0.9258636,-0.2238673
9:30:16:2:36:729,17470,0.1564265,0.2609143,-0.9259254,-0.2238675
9:30:16:2:36:788,17477,0.1563684,0.2606141,-0.926004,-0.2239328
9:30:16:2:36:848,17484,0.1563079,0.2603707,-0.9260677,-0.2239945
9:30:16:2:36:907,17491,0.1563061,0.2602458,-0.9261186,-0.223931
9:30:16:2:36:967,17499,0.1563044,0.2601208,-0.9261692,-0.2238674
9:30:16:2:37:26,17506,0.156309,0.2600675,-0.9261966,-0.223813
9:30:16:2:37:85,17513,0.1563094,0.259946,-0.9262599,-0.2236915
9:30:16:2:37:144,17521,0.1561811,0.2595695,-0.9263451,-0.2238657
9:30:16:2:37:203,17528,0.1561903,0.2594627,-0.9263998,-0.2237568
9:30:16:2:37:273,17536,0.156062,0.2590861,-0.9264848,-0.223931
9:30:16:2:37:332,17544,0.1560014,0.2588426,-0.9265481,-0.2239926
9:30:16:2:37:391,17551,0.1558156,0.258472,-0.9266542,-0.2241108
9:30:16:2:37:450,17558,0.1557549,0.2582285,-0.9267174,-0.2241724
9:30:16:2:37:510,17565,0.1556988,0.2579315,-0.9268078,-0.2241795
9:30:16:2:37:569,17572,0.1556378,0.2577485,-0.926869,-0.2241795
9:30:16:2:37:628,17579,0.15552,0.2574503,-0.9269554,-0.2242467
9:30:16:2:37:688,17586,0.155575,0.2574403,-0.9269805,-0.2241159
9:30:16:2:37:747,17594,0.1556388,0.2574449,-0.9269971,-0.2239978
9:30:16:2:37:806,17601,0.155515,0.2570147,-0.9271085,-0.2241173
9:30:16:2:37:865,17608,0.1555135,0.2568291,-0.9271605,-0.2241152
9:30:16:2:37:925,17616,0.1553956,0.2565309,-0.9272467,-0.2241823
9:30:16:2:37:984,17623,0.155392,0.2563418,-0.9272861,-0.2242381
9:30:16:2:38:43,17630,0.1552744,0.255983,-0.9273738,-0.2243666
9:30:16:2:38:112,17639,0.1552094,0.2556713,-0.9274721,-0.2243609
9:30:16:2:38:172,17646,0.1552051,0.2556033,-0.9275078,-0.2242937
9:30:16:2:38:231,17653,0.1551467,0.2553025,-0.9275846,-0.2243585
9:30:16:2:38:290,17660,0.1549695,0.2549459,-0.9276808,-0.2244891
9:30:16:2:38:350,17668,0.1548406,0.2546295,-0.927762,-0.2246013
9:30:16:2:38:409,17675,0.1546572,0.2541408,-0.9278824,-0.224784
9:30:16:2:38:468,17682,0.1545371,0.2538387,-0.9279549,-0.2249088
9:30:16:2:38:527,17690,0.1544765,0.2535343,-0.9280184,-0.2250315
9:30:16:2:38:587,17697,0.1545363,0.2534103,-0.9280724,-0.2249077
9:30:16:2:38:646,17704,0.1544754,0.2531663,-0.9281342,-0.2249689
9:30:16:2:38:705,17711,0.1544714,0.2530378,-0.9281713,-0.2249631
9:30:16:2:38:765,17719,0.1543533,0.2527391,-0.9282562,-0.2250299
9:30:16:2:38:824,17726,0.1543515,0.252614,-0.928306,-0.2249662
9:30:16:2:38:893,17732,0.1542339,0.252194,-0.9283938,-0.2251558
9:30:16:2:38:952,17740,0.154232,0.2520689,-0.9284436,-0.225092
9:30:16:2:39:12,17747,0.1541141,0.2517095,-0.9285296,-0.2252201
9:30:16:2:39:71,17754,0.1541691,0.2516997,-0.9285548,-0.2250894
9:30:16:2:39:130,17762,0.1541079,0.2515163,-0.9286147,-0.2250891
9:30:16:2:39:189,17769,0.1541086,0.2512734,-0.9286801,-0.2250902
9:30:16:2:39:249,17776,0.1540474,0.25109,-0.9287398,-0.2250899
9:30:16:2:39:308,17783,0.1541112,0.2510945,-0.9287567,-0.2249719
9:30:16:2:39:368,17791,0.1541687,0.2510276,-0.9287961,-0.2248446
9:30:16:2:39:426,17798,0.1540481,0.2507859,-0.928866,-0.2249078
9:30:16:2:39:486,17805,0.1539301,0.2504263,-0.9289516,-0.2250358
9:30:16:2:39:545,17813,0.1538669,0.2501788,-0.929,-0.2251548
9:30:16:2:39:604,17820,0.1536785,0.2498038,-0.9290895,-0.22533
9:30:16:2:39:664,17827,0.1535604,0.2494441,-0.9291746,-0.2254579
9:30:16:2:39:733,17836,0.1536181,0.2493166,-0.9292154,-0.225392
9:30:16:2:39:792,17843,0.1536183,0.2491948,-0.9292775,-0.2252702
9:30:16:2:39:851,17850,0.153498,0.2488316,-0.9293497,-0.2254559
9:30:16:2:39:911,17858,0.1534367,0.248648,-0.929409,-0.2254555
9:30:16:2:39:970,17865,0.1533756,0.2484038,-0.9294696,-0.2255165
9:30:16:2:40:29,17872,0.1532572,0.2481046,-0.9295529,-0.2255829
9:30:16:2:40:88,17879,0.1531961,0.2478603,-0.9296134,-0.2256438
9:30:16:2:40:148,17887,0.1530758,0.2474969,-0.9296849,-0.2258295
9:30:16:2:40:207,17894,0.1530759,0.2473751,-0.929747,-0.2257076
9:30:16:2:40:266,17901,0.1530742,0.2471891,-0.9297974,-0.225705
9:30:16:2:40:326,17909,0.1529536,0.2468864,-0.9298674,-0.2258293
9:30:16:2:40:385,17916,0.1528924,0.246642,-0.9299275,-0.2258901
9:30:16:2:40:444,17923,0.1528331,0.2464617,-0.9299994,-0.2258317
9:30:16:2:40:503,17930,0.1528315,0.246215,-0.9300506,-0.2258904
9:30:16:2:40:573,17939,0.1527047,0.2457801,-0.9301437,-0.2260664
9:30:16:2:40:632,17946,0.1525863,0.2454198,-0.9302273,-0.226194
9:30:16:2:40:691,17952,0.1525843,0.2452946,-0.9302762,-0.22613
9:30:16:2:40:750,17960,0.1523978,0.2448619,-0.9303774,-0.226308
9:30:16:2:40:810,17967,0.152396,0.2446759,-0.9304274,-0.2263053
9:30:16:2:40:869,17974,0.1522774,0.2443762,-0.9305095,-0.2263715
9:30:16:2:40:928,17982,0.1524031,0.244321,-0.9305317,-0.2262548
9:30:16:2:40:988,17986,0.152276,0.2439467,-0.9306229,-0.2263694
9:30:16:2:41:47,17993,0.1521551,0.2437044,-0.9306909,-0.2264321
9:30:16:2:41:106,18000,0.1521617,0.243593,-0.9307314,-0.2263809
9:30:16:2:41:166,18008,0.152094,0.2432771,-0.9308127,-0.226432
9:30:16:2:41:225,18015,0.1519711,0.2429706,-0.9308686,-0.2266139
9:30:16:2:41:284,18022,0.151912,0.2426685,-0.9309414,-0.2266778
9:30:16:2:41:343,18030,0.1519099,0.2425432,-0.93099,-0.2266137
9:30:16:2:41:412,18038,0.1519762,0.2424295,-0.9310218,-0.2265604
9:30:16:2:41:472,18045,0.151917,0.2421273,-0.9310945,-0.2266243
9:30:16:2:41:531,18053,0.1518555,0.2419434,-0.9311525,-0.2266236
9:30:16:2:41:590,18060,0.151794,0.2417595,-0.9312105,-0.2266228
9:30:16:2:41:709,18073,0.1516648,0.2411989,-0.9313499,-0.2267343
9:30:16:2:41:768,18081,0.1516032,0.2410149,-0.9314077,-0.2267335
9:30:16:2:41:827,18088,0.1516098,0.2409033,-0.931448,-0.2266822
9:30:16:2:41:887,18095,0.1515484,0.2405977,-0.9315072,-0.2268039
9:30:16:2:41:946,18103,0.1514212,0.2401623,-0.9315977,-0.2269793
9:30:16:2:42:5,18110,0.1513024,0.2398621,-0.9316782,-0.2270451
9:30:16:2:42:64,18117,0.1513004,0.2396759,-0.9317272,-0.2270421
9:30:16:2:42:125,18125,0.1511795,0.2393116,-0.9317954,-0.227227
9:30:16:2:42:193,18133,0.1511795,0.2391895,-0.9318565,-0.2271049
9:30:16:2:42:252,18140,0.1510607,0.2388284,-0.9319375,-0.2272319
9:30:16:2:42:312,18148,0.1511159,0.2388193,-0.9319627,-0.2271011
9:30:16:2:42:371,18154,0.1511225,0.2386466,-0.9320034,-0.227111
9:30:16:2:42:430,18161,0.1509354,0.2382741,-0.9321008,-0.227227
9:30:16:2:42:489,18168,0.1508165,0.2379128,-0.9321814,-0.2273539
9:30:16:2:42:549,18176,0.1508739,0.2378462,-0.9322202,-0.2272264
9:30:16:2:42:608,18183,0.1508782,0.2377919,-0.9322466,-0.2271718
9:30:16:2:42:668,18190,0.1509356,0.2377252,-0.9322854,-0.2270443
9:30:16:2:42:726,18198,0.150872,0.2374769,-0.9323303,-0.2271624
9:30:16:2:42:786,18204,0.150753,0.2371156,-0.9324105,-0.2272892
9:30:16:2:42:845,18211,0.1506341,0.2367542,-0.9324906,-0.2274159
9:30:16:2:42:904,18218,0.150632,0.2365679,-0.932539,-0.2274128
9:30:16:2:42:964,18226,0.1506299,0.2364425,-0.9325868,-0.2273486
9:30:16:2:43:92,18240,0.1505087,0.2359556,-0.9327145,-0.2274109
9:30:16:2:43:151,18248,0.150447,0.2357715,-0.9327713,-0.2274099
9:30:16:2:43:211,18255,0.1503279,0.23541,-0.9328509,-0.2275365
9:30:16:2:43:270,18262,0.1502662,0.2352258,-0.9329076,-0.2275355
9:30:16:2:43:329,18270,0.150264,0.2351003,-0.9329553,-0.2274712
9:30:16:2:43:388,18277,0.1501428,0.2347355,-0.9330216,-0.2276556
9:30:16:2:43:448,18282,0.1500811,0.2345512,-0.9330781,-0.2276545
9:30:16:2:43:507,18289,0.1500215,0.2342484,-0.9331484,-0.2277177
9:30:16:2:43:566,18297,0.1499577,0.2339999,-0.9331921,-0.2278356
9:30:16:2:43:626,18304,0.1498981,0.233697,-0.9332622,-0.2278988
9:30:16:2:43:685,18311,0.1498363,0.2335127,-0.9333186,-0.2278977
9:30:16:2:43:744,18316,0.1497172,0.233029,-0.9333978,-0.2281463
9:30:16:2:43:804,18323,0.1495957,0.2327859,-0.9334628,-0.2282083
9:30:16:2:43:873,18329,0.1495978,0.2325449,-0.9335366,-0.2281504
9:30:16:2:43:932,18337,0.149536,0.2323606,-0.9335927,-0.2281492
9:30:16:2:43:991,18344,0.1494082,0.2319245,-0.9336791,-0.2283235
9:30:16:2:44:51,18351,0.1492313,0.2314458,-0.9337789,-0.2285161
9:30:16:2:44:170,18364,0.1491055,0.2310128,-0.9338778,-0.2286325
9:30:16:2:44:228,18371,0.1490458,0.2307096,-0.9339468,-0.2286955
9:30:16:2:44:288,18378,0.1489839,0.2304032,-0.9340029,-0.2288164
9:30:16:2:44:347,18386,0.148922,0.2301578,-0.9340585,-0.2288761
9:30:16:2:44:406,18393,0.1487344,0.2297846,-0.9341521,-0.2289912
9:30:16:2:44:465,18400,0.148617,0.2293035,-0.9342423,-0.2291814
9:30:16:2:44:526,18408,0.1484911,0.2288703,-0.9343401,-0.2292975
9:30:16:2:44:584,18415,0.1484973,0.2287578,-0.9343793,-0.2292461
9:30:16:2:44:713,18429,0.148367,0.2281959,-0.9345106,-0.2293555
9:30:16:2:44:762,18435,0.1481897,0.2277166,-0.9346084,-0.2295476
9:30:16:2:44:831,18443,0.1482492,0.2275922,-0.9346598,-0.2294232
9:30:16:2:44:890,18450,0.148247,0.2274666,-0.9347066,-0.2293586
9:30:16:2:44:950,18458,0.1481294,0.2271073,-0.934796,-0.2294266
9:30:16:2:45:9,18465,0.1480056,0.2268605,-0.934846,-0.229546
9:30:16:2:45:69,18472,0.1480054,0.2266771,-0.9349058,-0.2294846
9:30:16:2:45:127,18480,0.1480031,0.2264905,-0.9349522,-0.2294811
9:30:16:2:45:187,18487,0.1478834,0.226189,-0.9350283,-0.2295458
9:30:16:2:45:246,18494,0.1478811,0.2260023,-0.9350746,-0.2295422
9:30:16:2:45:305,18501,0.1478275,0.2258306,-0.9351218,-0.2295537
9:30:16:2:45:365,18509,0.147759,0.225453,-0.9351965,-0.2296642
9:30:16:2:45:424,18516,0.1477054,0.2253423,-0.9352438,-0.2296148
9:30:16:2:45:493,18524,0.1477649,0.2252178,-0.9352949,-0.2294903
9:30:16:2:45:552,18531,0.1477028,0.2250332,-0.9353496,-0.2294887
9:30:16:2:45:612,18538,0.1476984,0.2248434,-0.9353827,-0.2295429
9:30:16:2:45:671,18545,0.1475209,0.2243636,-0.9354788,-0.2297346
9:30:16:2:45:730,18553,0.147397,0.2241166,-0.9355283,-0.2298538
9:30:16:2:45:789,18560,0.1475141,0.2240481,-0.9355581,-0.2297241
9:30:16:2:45:849,18567,0.1473963,0.2236884,-0.9356461,-0.2297917
9:30:16:2:45:908,18574,0.1473342,0.2235037,-0.9357004,-0.2297901
9:30:16:2:45:967,18581,0.1473319,0.2233781,-0.9357466,-0.2297254
9:30:16:2:46:27,18588,0.1471522,0.222956,-0.9358293,-0.2299138
9:30:16:2:46:86,18595,0.1469705,0.222653,-0.9358995,-0.2300382
9:30:16:2:46:145,18603,0.1469681,0.2224662,-0.9359451,-0.2300344
9:30:16:2:46:204,18610,0.1469079,0.2221624,-0.9360115,-0.2300967
9:30:16:2:46:264,18617,0.1467302,0.2218044,-0.9361071,-0.2301663
9:30:16:2:46:333,18626,0.1466615,0.2214266,-0.9361803,-0.2302763
9:30:16:2:46:392,18633,0.1465994,0.2212418,-0.9362341,-0.2302745
9:30:16:2:46:451,18640,0.1466651,0.2211268,-0.9362642,-0.2302209
9:30:16:2:46:511,18647,0.146419,0.2205745,-0.9363737,-0.2304619
9:30:16:2:46:570,18654,0.1463608,0.2202736,-0.9364526,-0.2304663
9:30:16:2:46:629,18661,0.1462983,0.2199052,-0.9365044,-0.2306471
9:30:16:2:46:688,18668,0.1463538,0.2198969,-0.9365299,-0.2305163
9:30:16:2:46:748,18676,0.1464196,0.219843,-0.9365603,-0.2304018
9:30:16:2:46:866,18688,0.1463549,0.2194713,-0.9366591,-0.230396
9:30:16:2:46:926,18696,0.1463608,0.219297,-0.9366967,-0.2304053
9:30:16:2:46:985,18703,0.1463004,0.2189928,-0.936762,-0.2304674
9:30:16:2:47:44,18710,0.1462382,0.218808,-0.9368154,-0.2304655
9:30:16:2:47:103,18717,0.1462357,0.2186211,-0.9368604,-0.2304616
9:30:16:2:47:173,18726,0.1461154,0.2182576,-0.9369332,-0.2305865
9:30:16:2:47:232,18733,0.1461129,0.2180708,-0.936978,-0.2305825
9:30:16:2:47:291,18740,0.1460506,0.2178859,-0.9370312,-0.2305806
9:30:16:2:47:351,18748,0.1460501,0.2176409,-0.9370885,-0.2305797
9:30:16:2:47:410,18755,0.146052,0.2175827,-0.9371009,-0.2305827
9:30:16:2:47:469,18762,0.145874,0.2172241,-0.9371948,-0.2306519
9:30:16:2:47:528,18768,0.1457454,0.2168481,-0.9372745,-0.2307635
9:30:16:2:47:588,18775,0.1457492,0.2167318,-0.9372993,-0.2307696
9:30:16:2:47:647,18782,0.1457466,0.2165449,-0.9373438,-0.2307655
9:30:16:2:47:706,18789,0.1458105,0.216549,-0.937362,-0.2306479
9:30:16:2:47:765,18796,0.1456901,0.2161853,-0.9374338,-0.2307727
9:30:16:2:47:825,18803,0.1456877,0.2160597,-0.9374792,-0.2307078
9:30:16:2:47:943,18816,0.1456228,0.2156878,-0.9375765,-0.2307017
9:30:16:2:48:13,18824,0.1456287,0.2155744,-0.9376143,-0.2306499
9:30:16:2:48:72,18831,0.1455663,0.2153894,-0.937667,-0.2306479
9:30:16:2:48:131,18839,0.1455639,0.2152636,-0.9377122,-0.230583
9:30:16:2:48:190,18846,0.1456277,0.2152678,-0.9377303,-0.2304653
9:30:16:2:48:250,18853,0.1456232,0.2151391,-0.9377623,-0.2304582
9:30:16:2:48:309,18858,0.1455691,0.2149051,-0.9378066,-0.2305301
9:30:16:2:48:368,18866,0.1454448,0.2146577,-0.9378535,-0.2306487
9:30:16:2:48:427,18873,0.1451961,0.2141016,-0.9379458,-0.2309466
9:30:16:2:48:487,18880,0.1450738,0.2138572,-0.9380055,-0.2310073
9:30:16:2:48:546,18888,0.1450113,0.2136109,-0.9380569,-0.2310659
9:30:16:2:48:605,18893,0.144831,0.2132488,-0.9381359,-0.2311924
9:30:16:2:48:664,18900,0.1447701,0.2128829,-0.9381982,-0.2313148
9:30:16:2:48:724,18908,0.1446495,0.2125188,-0.9382687,-0.2314392
9:30:16:2:48:793,18916,0.1445888,0.2122141,-0.9383319,-0.2315008
9:30:16:2:48:852,18923,0.1445927,0.2121588,-0.9383572,-0.231446
9:30:16:2:48:911,18931,0.1445882,0.2120301,-0.9383888,-0.2314387
9:30:16:2:49:30,18943,0.1445315,0.2117314,-0.9384784,-0.2313847
9:30:16:2:49:89,18950,0.1444026,0.2113551,-0.9385557,-0.2314958
9:30:16:2:49:148,18958,0.1443482,0.2111207,-0.9385991,-0.2315675
9:30:16:2:49:208,18965,0.1442254,0.2107535,-0.9386556,-0.2317495
9:30:16:2:49:267,18972,0.1441646,0.2104486,-0.9387181,-0.2318109
9:30:16:2:49:327,18980,0.1441022,0.2102634,-0.9387698,-0.2318086
9:30:16:2:49:386,18987,0.1439198,0.2099593,-0.9388354,-0.2319318
9:30:16:2:49:445,18994,0.1439193,0.2098365,-0.9388933,-0.2318089
9:30:16:2:49:504,19001,0.1438566,0.20959,-0.9389434,-0.2318673
9:30:16:2:49:564,19009,0.1437939,0.2093434,-0.9389936,-0.2319256
9:30:16:2:49:633,19017,0.1438596,0.2092891,-0.939024,-0.231811
9:30:16:2:49:692,19024,0.1437369,0.2089831,-0.9390811,-0.2319322
9:30:16:2:49:751,19032,0.143616,0.2086186,-0.93915,-0.2320562
9:30:16:2:49:811,19039,0.1434951,0.2082541,-0.9392186,-0.2321801
9:30:16:2:49:870,19046,0.1434326,0.2080688,-0.9392699,-0.2321777
9:30:16:2:49:929,19054,0.1434282,0.2080014,-0.9393023,-0.2321096
9:30:16:2:49:988,19060,0.1433075,0.2076983,-0.9393722,-0.2321728
9:30:16:2:50:48,19067,0.1431265,0.2072741,-0.9394473,-0.2323594
9:30:16:2:50:107,19074,0.1431822,0.2072663,-0.939473,-0.2322286
9:30:16:2:50:166,19082,0.1432476,0.2071506,-0.9395018,-0.2321747
9:30:16:2:50:226,19089,0.143183,0.2069623,-0.9395395,-0.2322299
9:30:16:2:50:285,19096,0.1431887,0.2068484,-0.9395766,-0.2321781
9:30:16:2:50:344,19104,0.1430657,0.2064808,-0.9396313,-0.2323596
9:30:16:2:50:403,19110,0.1429446,0.2061161,-0.9396991,-0.2324834
9:30:16:2:50:472,19118,0.1430618,0.2060481,-0.9397284,-0.2323534
9:30:16:2:50:532,19126,0.1430575,0.2059808,-0.9397606,-0.2322853
9:30:16:2:50:591,19133,0.1429449,0.2056892,-0.9398227,-0.2323617
9:30:16:2:50:650,19140,0.142942,0.2055021,-0.9398652,-0.2323571
9:30:16:2:50:710,19145,0.1428212,0.2051987,-0.9399344,-0.2324201
9:30:16:2:50:769,19153,0.1427601,0.2048934,-0.9399951,-0.2324811
9:30:16:2:50:828,19160,0.1427573,0.2047063,-0.9400375,-0.2324765
9:30:16:2:50:888,19167,0.1428211,0.2047103,-0.940056,-0.232359
9:30:16:2:50:947,19175,0.1428165,0.2045816,-0.9400865,-0.2323515
9:30:16:2:51:6,19182,0.1427539,0.2043962,-0.940137,-0.2323488
9:30:16:2:51:125,19195,0.1425762,0.2038547,-0.940234,-0.2325408
9:30:16:2:51:184,19202,0.142455,0.2034898,-0.9403009,-0.2326643
9:30:16:2:51:253,19210,0.1424539,0.203244,-0.9403546,-0.2326625
9:30:16:2:51:313,19218,0.142333,0.2029404,-0.940423,-0.2327254
9:30:16:2:51:372,19223,0.1422094,0.2025111,-0.9404743,-0.2329671
9:30:16:2:51:431,19230,0.1422068,0.2023853,-0.940518,-0.2329018
9:30:16:2:51:490,19237,0.1421441,0.2021999,-0.940568,-0.2328991
9:30:16:2:51:550,19245,0.1420829,0.2018944,-0.9406279,-0.2329598
9:30:16:2:51:609,19252,0.1421465,0.201837,-0.9406447,-0.2329029
9:30:16:2:51:668,19259,0.1421523,0.2017842,-0.940683,-0.2327904
9:30:16:2:51:727,19267,0.1421494,0.201597,-0.9407248,-0.2327856
9:30:16:2:51:787,19271,0.1421452,0.2015911,-0.9407585,-0.2326568
